"day_index","date_format","phase","weekday","2018","2019","2020","diff_18_19","diff_20_19"
91,2020-05-14,"yellow","Thursday",9046,11136,5260,2090,-5876
92,2020-05-15,"yellow","Friday",9112,12638,5651,3526,-6987
93,2020-05-16,"yellow","Saturday",7285,10267,5249,2982,-5018
94,2020-05-17,"yellow","Sunday",5001,7404,3937,2403,-3467
95,2020-05-18,"yellow","Monday",7716,9986,5392,2270,-4594
96,2020-05-19,"yellow","Tuesday",8013,10499,5527,2486,-4972
97,2020-05-20,"yellow","Wednesday",7511,10986,5706,3475,-5280
98,2020-05-21,"yellow","Thursday",8015,11346,5429,3331,-5917
99,2020-05-22,"yellow","Friday",9432,12314,5928,2882,-6386
100,2020-05-23,"yellow","Saturday",7373,10216,5225,2843,-4991
101,2020-05-24,"yellow","Sunday",6204,8063,4223,1859,-3840
102,2020-05-25,"yellow","Monday",8997,11275,3675,2278,-7600
103,2020-05-26,"yellow","Tuesday",8382,10647,5283,2265,-5364
104,2020-05-27,"yellow","Wednesday",7971,10585,5769,2614,-4816
105,2020-05-28,"yellow","Thursday",8207,10963,5862,2756,-5101
106,2020-05-29,"green","Friday",9307,12255,7097,2948,-5158
107,2020-05-30,"green","Saturday",8259,10817,6472,2558,-4345
108,2020-05-31,"green","Sunday",7298,9159,5182,1861,-3977
109,2020-06-01,"green","Monday",5258,6835,6319,1577,-516
110,2020-06-02,"green","Tuesday",8181,10266,6914,2085,-3352
111,2020-06-03,"green","Wednesday",8155,11249,6601,3094,-4648
112,2020-06-04,"green","Thursday",9130,11647,7020,2517,-4627
113,2020-06-05,"green","Friday",9781,11963,8298,2182,-3665
114,2020-06-06,"green","Saturday",7999,10503,7081,2504,-3422
115,2020-06-07,"green","Sunday",5496,8670,5329,3174,-3341
116,2020-06-08,"green","Monday",7835,10904,7290,3069,-3614
117,2020-06-09,"green","Tuesday",8473,11067,7154,2594,-3913
118,2020-06-10,"green","Wednesday",8155,11780,6933,3625,-4847
119,2020-06-11,"green","Thursday",8115,11948,7408,3833,-4540
