"","Jurisdiction","Date","New.Cases","X7.day.Average.New.Cases","Cumulative.cases","Population..2018.","New.Case.Rate","X7.Day.Average.New.Case.Rate","Cumulative.Case.Rate","County.FIPS.Code","Longitude","Latitude","Georeferenced.Lat...Long","Date_adj","phase","phase2"
"6604","Centre",2020-07-10,2,2.4,243,162805,1.2,1.5,149.3,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-26,"green","green"
"6616","Centre",2020-07-08,3,3.4,237,162805,1.8,2.1,145.6,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-24,"green","green"
"6941","Centre",2020-04-21,0,0.4,83,162805,0,0.3,51,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-07,"red","red"
"7025","Centre",2020-06-02,0,1,157,162805,0,0.6,96.4,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-19,"green","yellow"
"7226","Centre",2020-07-01,6,2.1,213,162805,3.7,1.3,130.8,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-17,"green","green"
"7440","Centre",2020-05-01,2,2.4,105,162805,1.2,1.5,64.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-17,"red","red"
"7448","Centre",2020-05-15,0,1.3,136,162805,0,0.8,83.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-01,"yellow","red"
"7665","Centre",2020-03-19,1,0.1,1,162805,0.6,0.1,0.6,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-05,"local","base"
"7668","Centre",2020-05-10,1,1.9,128,162805,0.6,1.1,78.6,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-26,"yellow","red"
"7802","Centre",2020-04-20,2,0.7,83,162805,1.2,0.4,51,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-06,"red","red"
"7839","Centre",2020-03-04,0,NA,0,162805,0,NA,0,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-02-19,"base","base"
"7851","Centre",2020-03-02,0,NA,0,162805,0,NA,0,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-02-17,"base","base"
"7938","Centre",2020-07-13,2,3.1,253,162805,1.2,1.9,155.4,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-29,"green","green"
"8005","Centre",2020-05-30,1,1.1,156,162805,0.6,0.7,95.8,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-16,"green","yellow"
"8018","Centre",2020-06-26,2,2.6,201,162805,1.2,1.6,123.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-12,"green","green"
"8095","Centre",2020-08-14,6,3.3,395,162805,3.7,2,242.6,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-31,"return","green"
"8223","Centre",2020-06-16,0,2,176,162805,0,1.2,108.1,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-02,"green","green"
"8246","Centre",2020-04-09,2,3.9,68,162805,1.2,2.4,41.8,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-26,"red","local"
"8444","Centre",2020-06-11,8,1.9,170,162805,4.9,1.1,104.4,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-28,"green","yellow"
"8453","Centre",2020-08-19,1,4,411,162805,0.6,2.5,252.4,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-08-05,"return","green"
"8497","Centre",2020-07-28,3,6.6,345,162805,1.8,4,211.9,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-14,"green","green"
"8935","Centre",2020-03-23,7,1.4,10,162805,4.3,0.9,6.1,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-09,"local","pop"
"8989","Centre",2020-08-02,3,3.7,359,162805,1.8,2.3,220.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-19,"green","green"
"9050","Centre",2020-03-08,0,0,0,162805,0,0,0,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-02-23,"pop","base"
"9057","Centre",2020-04-24,3,1,88,162805,1.8,0.6,54.1,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-10,"red","red"
"9403","Centre",2020-05-25,1,1.4,149,162805,0.6,0.9,91.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-11,"yellow","yellow"
"9431","Centre",2020-07-18,4,5.4,282,162805,2.5,3.3,173.2,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-04,"green","green"
"9473","Centre",2020-04-03,6,3.9,47,162805,3.7,2.4,28.9,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-20,"red","local"
