"camera_name","hour","phase","weekends","road_connect","lanes","fit","se.fit"
"CAM02002CCTV3",18,"red",FALSE,"between",7,27.7394946073317,0.303445731510946
"CAM02002CCTV3",21,"green",FALSE,"between",7,8.42011148617259,0.166358754244531
"CAM02002CCTV3",14,"green",FALSE,"between",7,87.1198823013433,0.582634515046329
"CAM02002CCTV3",12,"red",FALSE,"between",7,40.8065803073981,0.345971897320423
"CAM02002CCTV3",0,"red",FALSE,"between",7,1.76843281798161,0.0597122876358638
"CAM02002CCTV3",17,"green",FALSE,"between",7,69.6924888820469,0.599114633463508
"CAM02002CCTV3",8,"red",FALSE,"between",7,19.2677242394342,0.252057419754114
"CAM02002CCTV3",3,"red",FALSE,"between",7,0.928071614196642,0.0427496529325551
"CAM02002CCTV3",10,"green",FALSE,"between",7,50.1412772536332,0.497220175427188
"CAM02002CCTV3",13,"red",FALSE,"between",7,45.5266872984232,0.416898754181769
"CAM02002CCTV3",1,"red",FALSE,"between",7,0.818873952877166,0.0293475332286542
"CAM02002CCTV3",18,"green",FALSE,"between",7,44.1473504680468,0.458348567560135
"CAM02002CCTV3",9,"red",FALSE,"between",7,23.4557095273746,0.242464611659406
"CAM02002CCTV3",16,"green",FALSE,"between",7,92.8365558250771,0.650068454670543
"CAM02002CCTV3",5,"red",FALSE,"between",7,14.6147412975419,0.228375977494775
"CAM02002CCTV3",14,"red",FALSE,"between",7,54.7408050464688,0.411771936480592
"CAM02002CCTV3",5,"green",FALSE,"between",7,23.2593316927948,0.354346068264825
"CAM02002CCTV3",19,"green",FALSE,"between",7,25.1059367068868,0.316753678957449
"CAM02002CCTV3",3,"green",FALSE,"between",7,1.47702412720079,0.0678264691193777
"CAM02002CCTV3",22,"green",FALSE,"between",7,5.1941047576935,0.136900858740997
"CAM02002CCTV3",1,"green",FALSE,"between",7,1.30323626650603,0.0464606930582699
"CAM02002CCTV3",4,"red",FALSE,"between",7,3.80445134657953,0.10654584254444
"CAM02002CCTV3",11,"green",FALSE,"between",7,59.949851675404,0.527345879725504
"CAM02002CCTV3",13,"green",FALSE,"between",7,72.4556322407346,0.614813555350618
"CAM02002CCTV3",9,"green",FALSE,"between",7,37.3297150377073,0.363837843421881
"CAM02002CCTV3",4,"green",FALSE,"between",7,6.05477674750741,0.168206011820117
"CAM02002CCTV3",7,"green",FALSE,"between",7,34.0005873020801,0.377125742344527
"CAM02002CCTV3",0,"green",FALSE,"between",7,2.81445731076856,0.0944748360957529
"CAM02002CCTV3",12,"green",FALSE,"between",7,64.9435913571781,0.503179010839616
"CAM02002CCTV3",23,"green",FALSE,"between",7,2.81445731076857,0.0944748360957529
"CAM02002CCTV3",6,"green",FALSE,"between",7,38.0006154350368,0.475839805374021
"CAM02002CCTV3",8,"green",FALSE,"between",7,30.664544785728,0.387009102306466
"CAM02002CCTV3",2,"green",FALSE,"between",7,0.855921180683618,0.0395220223035108
"CAM02003CCTV4",15,"green",FALSE,"between",6,100.941124901976,0.762447532473982
"CAM02003CCTV4",9,"green",FALSE,"between",6,53.6699883747232,0.456796746344136
"CAM02003CCTV4",16,"green",FALSE,"between",6,82.4848953469715,0.592491321175621
"CAM02003CCTV4",14,"green",FALSE,"between",6,96.262858009287,0.614274968337958
"CAM02003CCTV4",17,"green",FALSE,"between",6,57.0749320821317,0.528383649190871
"CAM02003CCTV4",10,"red",FALSE,"between",6,42.083479761475,0.392638777290293
"CAM02003CCTV4",11,"green",FALSE,"between",6,74.9747212535211,0.586347874719383
"CAM02003CCTV4",11,"red",FALSE,"between",6,47.1095287451859,0.402850585049988
"CAM02003CCTV4",13,"green",FALSE,"between",6,83.7885491538966,0.659644714041241
"CAM02003CCTV4",9,"red",FALSE,"between",6,33.7229377825005,0.310014616487892
"CAM02003CCTV4",10,"green",FALSE,"between",6,66.9757742974073,0.580099523882545
"CAM02003CCTV4",7,"green",FALSE,"between",6,42.5810267469257,0.431965758861446
"CAM02003CCTV4",0,"green",FALSE,"between",6,0.110365685719607,0.0103610242951276
"CAM02003CCTV4",12,"green",FALSE,"between",6,77.7857985586918,0.555023055899724
"CAM02003CCTV4",5,"green",FALSE,"between",6,14.1783618667138,0.275568298215285
"CAM02003CCTV4",22,"red",FALSE,"between",6,0.425996052145473,0.0296107779752867
"CAM02003CCTV4",3,"green",FALSE,"between",6,0.26965747938447,0.0224301669942114
"CAM02003CCTV4",8,"green",FALSE,"between",6,44.2936381477094,0.488461175460259
"CAM02003CCTV4",1,"green",FALSE,"between",6,0.0483625151515468,0.00444542055902123
"CAM02003CCTV4",18,"green",FALSE,"between",6,42.444400175764,0.445238339502089
"CAM02003CCTV4",6,"green",FALSE,"between",6,35.2787129985291,0.489348482627407
"CAM02003CCTV4",6,"red",FALSE,"between",6,22.1669853026538,0.316838579845228
"CAM02003CCTV4",4,"green",FALSE,"between",6,2.17911200370552,0.107889601832467
"CAM02003CCTV4",4,"red",FALSE,"between",6,1.36922069013659,0.0679645390844795
"CAM02003CCTV4",2,"green",FALSE,"between",6,0.0656957620435518,0.00603576156798599
"CAM02003CCTV4",19,"green",FALSE,"between",6,35.8629512793769,0.432563753693075
"CAM02003CCTV4",12,"red",FALSE,"between",6,48.8758377743996,0.387388748548522
"CAM02003CCTV4",17,"red",FALSE,"between",6,35.8623961329692,0.354218432913651
"CAM02003CCTV4",0,"red",FALSE,"between",6,0.0693470460037995,0.00651505209847043
"CAM02003CCTV4",15,"red",FALSE,"between",6,63.4252284721596,0.527035779316549
"CAM02003CCTV4",8,"red",FALSE,"between",6,27.8314128370351,0.321768393028254
"CAM02003CCTV4",20,"green",FALSE,"between",6,21.3528894326887,0.35891875713208
"CAM02003CCTV4",13,"red",FALSE,"between",6,52.6475990692334,0.452540541248157
"CAM02003CCTV4",23,"red",FALSE,"between",6,0.0693470460037995,0.00651505209847043
"CAM02003CCTV4",1,"red",FALSE,"between",6,0.0303880462591821,0.00279542808087564
"CAM02003CCTV4",21,"red",FALSE,"between",6,3.31112277662085,0.106634640159792
