datetime_EST,camera_name,vehicle_count_sum,image_count,vehicle_avg
2020-04-27 02:00:00,CAM02039CCTV45,1,79,0.759493670886076
2020-04-27 02:00:00,CAM02040CCTV46,4,80,3.0
2020-04-27 02:00:00,CAM02042CCTV49,1,75,0.8
2020-04-27 02:00:00,CAM02046CCTV52,0,70,0.0
2020-04-27 02:00:00,collegeTwp,46,89,31.01123595505618
2020-04-27 02:00:00,parkArboretum,0,88,0.0
2020-04-27 03:00:00,CAM02003CCTV4,0,2,0.0
2020-04-27 03:00:00,CAM02007CCTV13,0,61,0.0
2020-04-27 03:00:00,CAM02009CCTV7,0,37,0.0
2020-04-27 03:00:00,CAM02010CCTV11,0,1,0.0
2020-04-27 03:00:00,CAM02020CCTV24,0,82,0.0
2020-04-27 03:00:00,CAM02028CCTV32,1,72,0.8333333333333334
2020-04-27 03:00:00,CAM02037CCTV43,0,84,0.0
2020-04-27 03:00:00,CAM02039CCTV45,1,85,0.7058823529411764
2020-04-27 03:00:00,CAM02040CCTV46,2,76,1.5789473684210527
2020-04-27 03:00:00,CAM02042CCTV49,1,83,0.7228915662650602
2020-04-27 03:00:00,CAM02046CCTV52,0,77,0.0
2020-04-27 03:00:00,collegeTwp,58,89,39.10112359550562
2020-04-27 03:00:00,parkArboretum,0,90,0.0
2020-04-27 04:00:00,CAM02003CCTV4,0,9,0.0
2020-04-27 04:00:00,CAM02007CCTV13,0,50,0.0
2020-04-27 04:00:00,CAM02009CCTV7,0,25,0.0
2020-04-27 04:00:00,CAM02020CCTV24,0,85,0.0
2020-04-27 04:00:00,CAM02028CCTV32,2,62,1.9354838709677418
2020-04-27 04:00:00,CAM02033CCTV38,0,1,0.0
2020-04-27 04:00:00,CAM02037CCTV43,2,87,1.3793103448275863
2020-04-27 04:00:00,CAM02039CCTV45,1,82,0.7317073170731707
2020-04-27 04:00:00,CAM02040CCTV46,3,75,2.4
2020-04-27 04:00:00,CAM02042CCTV49,1,79,0.759493670886076
2020-04-27 04:00:00,CAM02046CCTV52,0,71,0.0
2020-04-27 04:00:00,collegeTwp,66,89,44.49438202247191
2020-04-27 04:00:00,parkArboretum,0,88,0.0
2020-04-27 05:00:00,CAM02001CCTV2,0,1,0.0
2020-04-27 05:00:00,CAM02002CCTV3,7,22,19.090909090909093
2020-04-27 05:00:00,CAM02003CCTV4,1,30,2.0
2020-04-27 05:00:00,CAM02007CCTV13,0,53,0.0
2020-04-27 05:00:00,CAM02009CCTV7,0,37,0.0
2020-04-27 05:00:00,CAM02010CCTV11,0,14,0.0
2020-04-27 05:00:00,CAM02020CCTV24,6,80,4.5
2020-04-27 05:00:00,CAM02028CCTV32,7,57,7.36842105263158
2020-04-27 05:00:00,CAM02033CCTV38,0,6,0.0
