location_name,street_address,city,latitude,longitude
Amish Furniture Connection,2961 Benner Pike,Bellefonte,40.886743,-77.782044
Amtrak,4th & Alder Streets,Philipsburg,40.900764,-78.223122
Amtrak,152 N Atherton St,State College,40.79211,-77.867847
Amy Sanor Gavlock Ameriprise Financial Services,1450 Martin St,Park Forest Village,40.803854,-77.890801
Anderson Daniel J OD,1771 Circleville Rd,Park Forest Village,40.791866,-77.901238
Anderson Donald J DVM,1945 General Potter Hwy,Centre Hall,40.789026,-77.711728
Anesthesia Associates of Central PA,1019 Ghaner Rd Ste 100,Port Matilda,40.815693,-77.939402
Angelina's Invigorating Hour,250 1st Ave,Lemont,40.819449,-77.812338
Angelo's Pizzaria,603 Boal Ave,Boalsburg,40.776583,-77.784534
Animal Medical Hospital of State College,1500 N Atherton St,Park Forest Village,40.806264,-77.889878
Annette Yorks Perry Wellington Realty,170 Rolling Ridge Dr,State College,40.786056,-77.828035
Annie's Alterations & Sewing,109 Melanie Ln,Pleasant Gap,40.87074,-77.750837
Antique Building Solutions,3149 Nittany Valley Dr,Snydertown,40.981311,-77.586725
Antiques At Apple Hill,105 Gerald St,Houserville,40.827754,-77.809503
Antoine Danna Certified Massage Therapist,113 Spring St,Houserville,40.824092,-77.830562
Anytime Fitness,2351 Commercial Blvd,Houserville,40.824634,-77.812022
Appalachian Ski & Outdoors,123 S Allen St,State College,40.794081,-77.860424
Apple Fitness Equipment,2123 E College Ave Ste 102,Houserville,40.820736,-77.816448
Applebee's,12 Colonnade Way,State College,40.810189,-77.904809
April Detar DMD,2182 Sandy Dr Ste 102,State College,40.782014,-77.902035
Are U Hungry,111 Sowers St,State College,40.798229,-77.855525
Aris,270 Walker Dr Ste 300,State College,40.815301,-77.829885
Armstrong Insurance,1559 Halfmoon Valley Rd,Stormstown,40.800879,-78.002244
Artemis Massage Studio,111 Sowers St Ste 400,State College,40.798204,-77.855579
Artistic Horizon,219 S Patterson St,State College,40.786863,-77.867895
Artistry Hair & Body Salon,315 1/2 E Beaver Ave,State College,40.791553,-77.863473
Ascend Resort Collection,100 Cricklewood Dr,Toftrees,40.824236,-77.892099
Ashtabula Allegheny Wesleyan Methodist Church,141 Bell Hollow Ln,Port Matilda,40.774263,-78.102816
Askey Cemetery,Askey Road,Moshannon,41.034519,-77.993316
Aspen Dental,1715 N Atherton St,State College,40.808932,-77.899058
Assembly Of God Chi Alpha The Pennsylvania State University,2201 University Dr,State College,40.775168,-77.848813
AT&T,1725 N Atherton St,State College,40.808948,-77.899189
AT&T,012 Hub Robeson Center,State College,40.797552,-77.862182
AT&T,2901 E College Ave Ste 414,State College,40.832366,-77.801501
