Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2018),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Greene,09/18/2020,3,1.7,175,36506,8.2,4.7,479.4,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Elk,03/19/2020,0,0,0,30169,0,0,0,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Columbia,03/22/2020,0,0.3,2,65456,0,0.4,3.1,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Berks,07/05/2020,4,8.9,4588,420152,1,2.1,1092,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Potter,03/10/2020,0,0,0,16622,0,0,0,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Perry,11/20/2020,11,12.4,566,46139,23.8,26.9,1226.7,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Franklin,04/01/2020,7,3,26,154835,4.5,1.9,16.8,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Clarion,06/18/2020,0,0.1,32,38779,0,0.4,82.5,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Luzerne,08/26/2020,10,11.3,3744,317646,3.1,3.6,1178.7,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Clearfield,07/13/2020,2,2.4,99,79388,2.5,3.1,124.7,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Greene,10/02/2020,3,1.4,200,36506,8.2,3.9,547.9,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Lawrence,10/04/2020,4,5,567,86184,4.6,5.8,657.9,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Lycoming,03/13/2020,0,0,0,113664,0,0,0,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Somerset,10/07/2020,11,4.4,256,73952,14.9,6,346.2,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Union,11/30/2020,26,45.6,1705,44785,58.1,101.8,3807.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lawrence,04/13/2020,0,2.7,53,86184,0,3.1,61.5,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Greene,07/25/2020,0,1.9,100,36506,0,5.1,273.9,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Perry,06/17/2020,1,1.1,78,46139,2.2,2.5,169.1,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Forest,09/22/2020,0,0.1,15,7279,0,2,206.1,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Lancaster,06/22/2020,73,42.4,4105,543557,13.4,7.8,755.2,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Lawrence,07/09/2020,14,6.9,161,86184,16.2,8,186.8,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Franklin,07/16/2020,8,6.6,1050,154835,5.2,4.2,678.1,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
York,10/27/2020,82,68.1,6494,448273,18.3,15.2,1448.7,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Union,08/01/2020,7,6.9,172,44785,15.6,15.3,384.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Carbon,10/23/2020,6,4.1,566,64227,9.3,6.5,881.2,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Venango,04/16/2020,0,0.1,6,51266,0,0.3,11.7,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Allegheny,07/07/2020,226,191.4,4239,1218452,18.5,15.7,347.9,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Indiana,06/11/2020,1,0.1,93,84501,1.2,0.2,110.1,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Snyder,07/27/2020,3,1.1,93,40540,7.4,2.8,229.4,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Northumberland,03/09/2020,0,0,0,91083,0,0,0,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Bedford,06/15/2020,0,1,54,48176,0,2.1,112.1,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Cambria,04/10/2020,2,1,13,131730,1.5,0.8,9.9,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Potter,11/26/2020,6,10.4,198,16622,36.1,62.7,1191.2,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Lawrence,06/21/2020,1,0.9,93,86184,1.2,1,107.9,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Elk,07/12/2020,0,1.6,35,30169,0,5.2,116,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Berks,05/19/2020,21,35.6,3788,420152,5,8.5,901.6,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Bradford,09/10/2020,0,0.4,108,60833,0,0.7,177.5,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Franklin,08/17/2020,9,7.7,1430,154835,5.8,5,923.6,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Jefferson,12/04/2020,59,44.7,1046,43641,135.2,102.5,2396.8,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Union,07/21/2020,1,0.7,115,44785,2.2,1.6,256.8,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Franklin,10/11/2020,7,9.1,1906,154835,4.5,5.9,1231,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Forest,12/06/2020,8,4.7,131,7279,109.9,64.8,1799.7,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Lackawanna,08/09/2020,8,5.7,1939,210793,3.8,2.7,919.9,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Adams,11/19/2020,26,25.9,1648,102811,25.3,25.2,1602.9,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Schuylkill,07/28/2020,7,5.6,871,142067,4.9,3.9,613.1,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Susquehanna,11/05/2020,3,5.4,451,40589,7.4,13.4,1111.1,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Clearfield,06/06/2020,0,1,49,79388,0,1.3,61.7,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Fayette,03/31/2020,0,1.7,17,130441,0,1.3,13,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Beaver,11/11/2020,62,36.7,2697,164742,37.6,22.3,1637.1,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
York,03/09/2020,0,0,0,448273,0,0,0,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Allegheny,03/30/2020,38,38.9,334,1218452,3.1,3.2,27.4,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Lawrence,12/02/2020,99,57.4,2441,86184,114.9,66.6,2832.3,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Cambria,05/18/2020,0,1.4,55,131730,0,1.1,41.8,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Potter,03/27/2020,1,0.1,2,16622,6,0.9,12,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Washington,10/27/2020,38,38.6,1987,207346,18.3,18.6,958.3,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Juniata,09/17/2020,1,1.7,173,24704,4,6.9,700.3,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Schuylkill,04/16/2020,10,12,261,142067,7,8.4,183.7,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Mercer,09/03/2020,4,3.1,566,110683,3.6,2.8,511.4,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Pennsylvania,05/14/2020,935,876.9,61974,12807060,7.3,6.8,483.9,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Northumberland,05/25/2020,3,3.7,183,91083,3.3,4.1,200.9,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Venango,08/11/2020,2,0.7,69,51266,3.9,1.4,134.6,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Cambria,05/12/2020,1,1.4,46,131730,0.8,1.1,34.9,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Cumberland,08/18/2020,13,9.6,1406,251423,5.2,3.8,559.2,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Montour,06/20/2020,0,0.6,68,18240,0,3.1,372.8,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Washington,07/09/2020,38,21.7,415,207346,18.3,10.5,200.1,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
