Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2018),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Mckean,03/07/2020,0,,0,40968,0,,0,,,,
Perry,08/19/2020,2,3.9,158,46139,4.3,8.4,342.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Bradford,09/13/2020,0,0.9,113,60833,0,1.4,185.8,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Huntingdon,08/25/2020,0,2.1,357,45168,0,4.7,790.4,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Armstrong,05/23/2020,0,0.1,59,65263,0,0.2,90.4,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Pennsylvania,08/29/2020,684,642.3,134030,12807060,5.3,5,1046.5,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Susquehanna,08/16/2020,0,1.1,221,40589,0,2.8,544.5,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Wayne,09/13/2020,0,0.9,201,51276,0,1.7,392,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Susquehanna,05/25/2020,1,1.6,101,40589,2.5,3.9,248.8,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Beaver,04/19/2020,10,22,337,164742,6.1,13.4,204.6,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Adams,05/09/2020,3,1.7,165,102811,2.9,1.7,160.5,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Lehigh,07/23/2020,19,15.4,4628,368100,5.2,4.2,1257.3,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Sullivan,09/16/2020,1,0.1,11,6071,16.5,2.4,181.2,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Somerset,07/17/2020,1,2.3,93,73952,1.4,3.1,125.8,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Crawford,04/16/2020,0,0.3,19,85063,0,0.3,22.3,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Cumberland,09/07/2020,12,10.4,1633,251423,4.8,4.1,649.5,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Forest,05/09/2020,0,0,7,7279,0,0,96.2,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Cumberland,04/09/2020,10,8.1,108,251423,4,3.2,43,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Potter,05/24/2020,0,0,4,16622,0,0,24.1,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Lancaster,06/03/2020,33,32.9,3307,543557,6.1,6,608.4,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Mercer,05/04/2020,1,0.3,70,110683,0.9,0.3,63.2,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Montour,03/03/2020,0,,0,18240,0,,0,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Warren,11/05/2020,1,1.6,82,39498,2.5,4,207.6,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Bradford,10/19/2020,22,17.9,511,60833,36.2,29.4,840,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Fulton,09/11/2020,1,0.3,40,14523,6.9,2,275.4,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Cambria,09/28/2020,6,5,589,131730,4.6,3.8,447.1,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Northumberland,08/10/2020,33,13.6,516,91083,36.2,14.9,566.5,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Huntingdon,06/15/2020,0,0.4,239,45168,0,0.9,529.1,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Crawford,06/07/2020,0,0.1,33,85063,0,0.2,38.8,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Bedford,09/15/2020,6,4.9,222,48176,12.5,10.1,460.8,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Berks,11/16/2020,166,161.4,11724,420152,39.5,38.4,2790.4,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Somerset,04/01/2020,0,0.1,3,73952,0,0.2,4.1,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Crawford,08/18/2020,6,2.3,182,85063,7.1,2.7,214,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Cumberland,05/06/2020,20,9.9,436,251423,8,3.9,173.4,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Beaver,09/10/2020,25,8.4,1768,164742,15.2,5.1,1073.2,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Lancaster,07/26/2020,16,36,5336,543557,2.9,6.6,981.7,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Cambria,03/13/2020,0,0,0,131730,0,0,0,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Fayette,12/05/2020,161,111.9,2963,130441,123.4,85.8,2271.5,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Tioga,10/02/2020,5,2.7,89,40763,12.3,6.7,218.3,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Pike,10/27/2020,1,1.3,625,55933,1.8,2.3,1117.4,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Lancaster,08/20/2020,66,35.1,6402,543557,12.1,6.5,1177.8,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Jefferson,07/18/2020,2,1.3,49,43641,4.6,2.9,112.3,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Butler,06/10/2020,4,2.3,255,187888,2.1,1.2,135.7,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Montour,07/05/2020,0,0.3,75,18240,0,1.6,411.2,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Somerset,05/10/2020,0,0.3,32,73952,0,0.4,43.3,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Dauphin,09/01/2020,21,25.1,3375,277097,7.6,9.1,1218,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Northampton,04/29/2020,42,55.6,2212,304807,13.8,18.2,725.7,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Centre,10/07/2020,91,64.9,3303,162805,55.9,39.8,2028.8,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Lehigh,10/26/2020,46,53.9,6553,368100,12.5,14.6,1780.2,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Chester,11/10/2020,123,97.3,9182,522046,23.6,18.6,1758.8,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Snyder,09/05/2020,5,2.7,186,40540,12.3,6.7,458.8,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Berks,08/29/2020,30,32,6042,420152,7.1,7.6,1438.1,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Huntingdon,09/05/2020,4,2.9,389,45168,8.9,6.3,861.2,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Sullivan,04/07/2020,0,0.1,1,6071,0,2.4,16.5,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Berks,06/05/2020,23,27.3,4194,420152,5.5,6.5,998.2,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Wyoming,10/09/2020,0,0.1,83,27046,0,0.5,306.9,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Chester,11/23/2020,124,170.4,11231,522046,23.8,32.6,2151.3,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Bucks,09/21/2020,29,36.4,8612,628195,4.6,5.8,1370.9,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Indiana,11/05/2020,38,32.7,1400,84501,45,38.7,1656.8,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Potter,12/03/2020,14,17.3,319,16622,84.2,104,1919.1,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Juniata,07/11/2020,0,0.4,115,24704,0,1.7,465.5,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Armstrong,11/03/2020,18,21,847,65263,27.6,32.2,1297.8,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Forest,05/07/2020,0,0,7,7279,0,0,96.2,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Sullivan,10/31/2020,0,0.3,20,6071,0,4.7,329.4,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Westmoreland,03/15/2020,0,0,0,350611,0,0,0,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Susquehanna,04/12/2020,5,3.4,34,40589,12.3,8.4,83.8,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Snyder,03/13/2020,0,0,0,40540,0,0,0,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Indiana,10/06/2020,13,10.6,816,84501,15.4,12.5,965.7,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Washington,11/12/2020,91,66.9,2872,207346,43.9,32.2,1385.1,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Clearfield,05/04/2020,0,1.7,28,79388,0,2.2,35.3,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Warren,05/25/2020,0,0.1,3,39498,0,0.4,7.6,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Franklin,08/27/2020,5,7.1,1502,154835,3.2,4.6,970.1,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Washington,04/26/2020,5,3.7,113,207346,2.4,1.8,54.5,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Montour,06/07/2020,0,0,53,18240,0,0,290.6,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Clarion,10/19/2020,5,3,184,38779,12.9,7.7,474.5,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Chester,03/29/2020,13,18.6,169,522046,2.5,3.6,32.4,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Blair,09/10/2020,6,3.4,514,122492,4.9,2.8,419.6,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Warren,05/23/2020,0,0.1,3,39498,0,0.4,7.6,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Crawford,05/23/2020,1,0.1,25,85063,1.2,0.2,29.4,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Lycoming,10/19/2020,4,7.6,895,113664,3.5,6.7,787.4,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Bedford,09/30/2020,4,2,250,48176,8.3,4.2,518.9,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Pike,11/29/2020,5,7.1,852,55933,8.9,12.8,1523.3,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Lebanon,09/29/2020,17,15.6,2077,141314,12,11,1469.8,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Northampton,06/23/2020,12,12,3345,304807,3.9,3.9,1097.4,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Blair,04/02/2020,0,0.6,5,122492,0,0.5,4.1,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Warren,10/04/2020,0,0.3,45,39498,0,0.7,113.9,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Pennsylvania,11/25/2020,8360,6765.9,337477,12807060,65.3,52.8,2635.1,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Tioga,05/23/2020,0,0,16,40763,0,0,39.3,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Bradford,07/06/2020,2,0.7,65,60833,3.3,1.2,106.8,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Erie,06/01/2020,8,11.6,309,272061,2.9,4.3,113.6,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Crawford,07/09/2020,0,1.9,77,85063,0,2.2,90.5,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Northampton,08/14/2020,11,12.3,4009,304807,3.6,4,1315.3,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Jefferson,10/03/2020,1,1,121,43641,2.3,2.3,277.3,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Chester,03/11/2020,0,0,0,522046,0,0,0,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Berks,03/07/2020,0,,0,420152,0,,0,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Pike,08/18/2020,1,0.4,530,55933,1.8,0.8,947.6,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Forest,06/30/2020,0,0,7,7279,0,0,96.2,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Lebanon,11/06/2020,68,54.7,3569,141314,48.1,38.7,2525.6,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Snyder,08/21/2020,3,2.1,141,40540,7.4,5.3,347.8,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Crawford,03/27/2020,1,0.3,2,85063,1.2,0.3,2.4,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Delaware,09/22/2020,45,33.4,11272,564751,8,5.9,1995.9,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Armstrong,05/07/2020,0,0.4,55,65263,0,0.7,84.3,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Pennsylvania,09/03/2020,924,824.9,138275,12807060,7.2,6.4,1079.7,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Greene,04/07/2020,1,1.1,17,36506,2.7,3.1,46.6,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Centre,10/17/2020,24,39.7,3709,162805,14.7,24.4,2278.2,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
York,04/17/2020,22,25,491,448273,4.9,5.6,109.5,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Washington,06/09/2020,1,1.6,154,207346,0.5,0.8,74.3,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Wyoming,03/30/2020,0,0,1,27046,0,0,3.7,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Columbia,04/28/2020,3,6.7,295,65456,4.6,10.3,450.7,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Lebanon,03/14/2020,0,0,0,141314,0,0,0,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Delaware,10/10/2020,44,55.6,12144,564751,7.8,9.8,2150.3,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Northumberland,07/07/2020,4,2.6,336,91083,4.4,2.8,368.9,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Sullivan,06/29/2020,0,0.3,5,6071,0,4.7,82.4,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Juniata,09/02/2020,0,0.7,151,24704,0,2.9,611.2,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Crawford,10/09/2020,7,2.6,344,85063,8.2,3,404.4,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Westmoreland,06/04/2020,2,1.7,461,350611,0.6,0.5,131.5,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Erie,10/22/2020,31,16,1965,272061,11.4,5.9,722.3,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Tioga,03/20/2020,0,0,0,40763,0,0,0,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Butler,05/23/2020,3,2.1,219,187888,1.6,1.1,116.6,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Philadelphia,03/13/2020,4,0.7,5,1584138,0.3,0,0.3,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Wayne,03/25/2020,1,0.6,5,51276,2,1.1,9.8,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Union,08/31/2020,7,3.3,384,44785,15.6,7.3,857.4,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Chester,08/08/2020,15,29.4,5111,522046,2.9,5.6,979,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Dauphin,11/22/2020,88,122.4,7020,277097,31.8,44.2,2533.4,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Beaver,08/29/2020,8,14.7,1618,164742,4.9,8.9,982.1,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Dauphin,03/18/2020,0,0,0,277097,0,0,0,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Montour,10/03/2020,0,4.1,200,18240,0,22.7,1096.5,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Berks,05/04/2020,54,55.6,3075,420152,12.9,13.2,731.9,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Montour,10/23/2020,1,3.1,291,18240,5.5,17.2,1595.4,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Fayette,11/03/2020,22,14.4,1123,130441,16.9,11.1,860.9,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Montour,11/29/2020,6,7.9,467,18240,32.9,43.1,2560.3,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Greene,11/05/2020,7,8,318,36506,19.2,21.9,871.1,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Warren,06/24/2020,0,0,5,39498,0,0,12.7,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Mercer,11/09/2020,61,39,1480,110683,55.1,35.2,1337.2,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Allegheny,05/24/2020,11,21,1840,1218452,0.9,1.7,151,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Columbia,03/31/2020,1,1,9,65456,1.5,1.5,13.7,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Juniata,03/01/2020,0,,0,24704,0,,0,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Lawrence,04/20/2020,0,1.1,61,86184,0,1.3,70.8,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Butler,10/02/2020,15,10.9,1125,187888,8,5.8,598.8,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Bedford,11/01/2020,21,14.3,482,48176,43.6,29.7,1000.5,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Monroe,10/20/2020,7,7.4,1946,169507,4.1,4.4,1148,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Clinton,04/28/2020,1,2.6,31,38684,2.6,6.6,80.1,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Adams,07/17/2020,2,3.7,411,102811,1.9,3.6,399.8,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Montgomery,05/05/2020,119,90,5164,828604,14.4,10.9,623.2,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Elk,09/23/2020,2,0.6,75,30169,6.6,1.9,248.6,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Monroe,10/30/2020,27,12.4,2073,169507,15.9,7.3,1223,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Delaware,08/21/2020,65,53.9,10057,564751,11.5,9.5,1780.8,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Warren,06/26/2020,0,0,5,39498,0,0,12.7,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Mercer,11/11/2020,89,54.3,1647,110683,80.4,49,1488,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Cambria,05/19/2020,0,1.3,55,131730,0,1,41.8,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Monroe,07/05/2020,4,4.3,1445,169507,2.4,2.5,852.5,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Pennsylvania,05/30/2020,511,529,72058,12807060,4,4.1,562.6,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Blair,07/16/2020,8,4,124,122492,6.5,3.3,101.2,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Bedford,05/06/2020,0,0.3,27,48176,0,0.6,56,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Lawrence,07/22/2020,4,7,261,86184,4.6,8.1,302.8,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Lawrence,11/13/2020,48,41.4,1530,86184,55.7,48.1,1775.3,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Lycoming,09/22/2020,9,5.7,642,113664,7.9,5,564.8,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Bedford,04/14/2020,4,0.9,9,48176,8.3,1.8,18.7,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Bucks,04/17/2020,79,81.4,1784,628195,12.6,13,284,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Bucks,04/28/2020,85,106.6,2898,628195,13.5,17,461.3,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Fulton,03/23/2020,0,0,0,14523,0,0,0,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Clearfield,05/15/2020,0,0.7,35,79388,0,0.9,44.1,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Cambria,10/30/2020,39,27.1,1209,131730,29.6,20.6,917.8,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Chester,08/15/2020,31,29.7,5319,522046,5.9,5.7,1018.9,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Union,05/08/2020,1,0.4,34,44785,2.2,1,75.9,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Clarion,10/22/2020,7,4.1,200,38779,18.1,10.7,515.7,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Northumberland,11/08/2020,18,20.4,1768,91083,19.8,22.4,1941.1,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Lackawanna,10/19/2020,42,47.6,3357,210793,19.9,22.6,1592.6,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Venango,10/04/2020,0,1.9,100,51266,0,3.6,195.1,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Schuylkill,06/13/2020,5,4.1,689,142067,3.5,2.9,485,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Cameron,11/10/2020,1,0.3,16,4492,22.3,6.4,356.2,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Lackawanna,06/08/2020,3,4.7,1584,210793,1.4,2.2,751.4,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Philadelphia,04/06/2020,385,408.7,4148,1584138,24.3,25.8,261.8,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Armstrong,09/15/2020,10,3.9,397,65263,15.3,5.9,608.3,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Chester,05/11/2020,38,45.6,1997,522046,7.3,8.7,382.5,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Cumberland,10/24/2020,20,20.6,2396,251423,8,8.2,953,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Clarion,11/05/2020,11,9.9,301,38779,28.4,25.4,776.2,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Somerset,12/03/2020,113,66.3,2222,73952,152.8,89.6,3004.7,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Lancaster,04/21/2020,32,56.9,1387,543557,5.9,10.5,255.2,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Snyder,06/18/2020,0,0.3,63,40540,0,0.7,155.4,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Lehigh,06/16/2020,6,12.4,3979,368100,1.6,3.4,1081,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Bucks,06/02/2020,26,28.7,5218,628195,4.1,4.6,830.6,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Lebanon,10/28/2020,27,47.7,3053,141314,19.1,33.8,2160.4,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Washington,05/08/2020,3,0.7,130,207346,1.4,0.3,62.7,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Adams,06/10/2020,2,2.3,281,102811,1.9,2.2,273.3,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Bucks,05/28/2020,35,29.1,5091,628195,5.6,4.6,810.4,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Jefferson,05/25/2020,0,0,9,43641,0,0,20.6,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Cambria,09/15/2020,1,2.3,533,131730,0.8,1.7,404.6,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Bradford,07/21/2020,1,1.1,75,60833,1.6,1.9,123.3,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Clinton,04/17/2020,1,0.6,11,38684,2.6,1.5,28.4,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Monroe,09/17/2020,1,2.9,1772,169507,0.6,1.7,1045.4,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Crawford,11/10/2020,47,23.4,815,85063,55.3,27.5,958.1,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Washington,11/03/2020,48,42,2281,207346,23.1,20.3,1100.1,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Union,09/29/2020,1,2.7,476,44785,2.2,6.1,1062.9,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Bradford,08/12/2020,0,0.9,97,60833,0,1.4,159.5,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Berks,04/19/2020,48,115.1,2007,420152,11.4,27.4,477.7,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Franklin,11/23/2020,73,96.4,3935,154835,47.1,62.3,2541.4,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Northumberland,09/19/2020,2,8.4,868,91083,2.2,9.3,953,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Clinton,07/11/2020,2,2.3,96,38684,5.2,5.9,248.2,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Bradford,05/04/2020,0,1.1,39,60833,0,1.9,64.1,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Columbia,05/18/2020,0,0.9,337,65456,0,1.3,514.8,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Greene,03/06/2020,0,,0,36506,0,,0,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Wayne,03/03/2020,0,,0,51276,0,,0,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Montgomery,05/16/2020,80,84.9,6171,828604,9.7,10.2,744.7,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Snyder,11/21/2020,20,23.1,866,40540,49.3,57.1,2136.2,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
